START
FRAME f=291 fc=235 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=292 fc=236 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=293 fc=237 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=294 fc=238 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=295 fc=239 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=296 fc=240 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=297 fc=241 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=298 fc=242 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=299 fc=243 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=300 fc=244 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=301 fc=245 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=302 fc=246 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=303 fc=247 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=304 fc=248 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=305 fc=249 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=306 fc=250 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=307 fc=251 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=308 fc=252 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=309 fc=253 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=310 fc=254 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=311 fc=255 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=312 fc=256 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
DONE
