START
f=389 fc=345 room=4 same=0 px=8 py=96
f=390 fc=346 room=4 same=0 px=8 py=96
f=391 fc=347 room=4 same=0 px=8 py=96
f=392 fc=348 room=4 same=0 px=8 py=96
f=393 fc=349 room=4 same=0 px=8 py=96
f=394 fc=350 room=4 same=0 px=8 py=96
f=395 fc=351 room=4 same=0 px=8 py=96
f=396 fc=352 room=4 same=0 px=8 py=96
f=397 fc=353 room=4 same=0 px=8 py=96
f=398 fc=354 room=4 same=0 px=8 py=96
f=399 fc=355 room=4 same=0 px=8 py=96
f=400 fc=356 room=4 same=0 px=8 py=96
f=401 fc=357 room=4 same=0 px=8 py=96
f=402 fc=358 room=4 same=0 px=8 py=96
f=403 fc=359 room=4 same=0 px=8 py=96
f=404 fc=360 room=4 same=0 px=8 py=96
f=405 fc=361 room=4 same=0 px=8 py=96
f=406 fc=362 room=4 same=0 px=8 py=96
f=407 fc=363 room=4 same=0 px=8 py=96
f=408 fc=364 room=4 same=0 px=8 py=96
f=409 fc=365 room=4 same=0 px=8 py=96
f=410 fc=366 room=4 same=0 px=8 py=96
f=411 fc=367 room=4 same=0 px=8 py=96
f=412 fc=368 room=4 same=0 px=8 py=96
f=413 fc=369 room=4 same=0 px=8 py=96
f=414 fc=370 room=4 same=0 px=8 py=96
f=415 fc=371 room=4 same=0 px=8 py=96
f=416 fc=372 room=4 same=0 px=8 py=96
f=417 fc=373 room=4 same=0 px=8 py=96
f=418 fc=374 room=4 same=0 px=8 py=96
f=419 fc=375 room=4 same=0 px=8 py=96
f=420 fc=376 room=4 same=0 px=8 py=96
f=421 fc=377 room=4 same=0 px=8 py=96
f=422 fc=378 room=4 same=0 px=8 py=96
f=423 fc=379 room=4 same=0 px=8 py=96
f=424 fc=380 room=4 same=0 px=8 py=96
f=425 fc=381 room=4 same=0 px=8 py=96
f=426 fc=382 room=4 same=0 px=8 py=96
f=427 fc=383 room=4 same=0 px=8 py=96
f=428 fc=384 room=4 same=0 px=8 py=96
f=429 fc=385 room=4 same=0 px=8 py=96
f=430 fc=386 room=4 same=0 px=8 py=96
f=431 fc=387 room=4 same=0 px=8 py=96
f=432 fc=388 room=4 same=0 px=8 py=96
f=433 fc=389 room=4 same=0 px=8 py=96
f=434 fc=390 room=4 same=0 px=8 py=96
f=435 fc=391 room=4 same=0 px=8 py=96
PASS room4 frame=435 fc=391 px=8 py=96
