START
ROOM12 frame=522 fc=466
f=1142 fc=1086 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1152 fc=1096 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1162 fc=1106 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1172 fc=1116 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1182 fc=1126 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1192 fc=1136 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1202 fc=1146 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1212 fc=1156 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1222 fc=1166 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1232 fc=1176 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1242 fc=1186 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1252 fc=1196 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1262 fc=1206 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1272 fc=1216 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1282 fc=1226 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1292 fc=1236 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1302 fc=1246 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1312 fc=1256 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1322 fc=1266 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1332 fc=1276 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1342 fc=1286 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1352 fc=1296 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1362 fc=1306 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1372 fc=1316 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1382 fc=1326 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1392 fc=1336 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1402 fc=1346 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1412 fc=1356 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1422 fc=1366 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1432 fc=1376 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1442 fc=1386 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1452 fc=1396 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1462 fc=1406 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1472 fc=1416 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1482 fc=1426 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1492 fc=1436 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1502 fc=1446 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1512 fc=1456 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
