START
f=1 fc=65535 room=0 title=0 timer=0 state=00 lo=00 bank=FF sp=FF stk=FF,FF,FF,FF set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=390 fc=334 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=391 fc=335 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=420 fc=364 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=450 fc=394 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=480 fc=424 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=510 fc=454 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=540 fc=484 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=570 fc=514 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=600 fc=544 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=630 fc=574 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=660 fc=604 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=690 fc=634 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=720 fc=664 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=750 fc=694 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=780 fc=724 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=810 fc=754 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=840 fc=784 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=870 fc=814 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=900 fc=844 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
DONE room=1 title=0 timer=0
