RUNNING
ROOM f=1 fc=65535 room=0 px=-1 py=-1 st=00 a0=00 a1=00 a2=00
TRACE f=294 fc=238 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=295 fc=239 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=296 fc=240 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=297 fc=241 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=298 fc=242 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=299 fc=243 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=300 fc=244 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=301 fc=245 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=302 fc=246 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=303 fc=247 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=304 fc=248 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=305 fc=249 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=306 fc=250 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=307 fc=251 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=308 fc=252 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=309 fc=253 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=310 fc=254 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=311 fc=255 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=312 fc=256 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=313 fc=257 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=314 fc=258 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=315 fc=259 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=316 fc=260 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=317 fc=261 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=318 fc=262 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=319 fc=263 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
