RUNNING
TRACE frame=427 fc=374 room=1 a=false x=8 y=96 same=0
TRACE frame=428 fc=375 room=1 a=false x=8 y=96 same=0
TRACE frame=429 fc=376 room=1 a=false x=8 y=96 same=0
TRACE frame=430 fc=377 room=1 a=false x=8 y=96 same=0
TRACE frame=431 fc=378 room=1 a=false x=8 y=96 same=0
TRACE frame=432 fc=379 room=1 a=false x=8 y=96 same=0
TRACE frame=433 fc=380 room=1 a=false x=8 y=96 same=0
TRACE frame=434 fc=381 room=1 a=false x=8 y=96 same=0
TRACE frame=435 fc=382 room=1 a=false x=8 y=96 same=0
TRACE frame=436 fc=383 room=1 a=false x=8 y=96 same=0
TRACE frame=437 fc=384 room=1 a=false x=8 y=96 same=0
TRACE frame=438 fc=385 room=1 a=false x=8 y=96 same=0
TRACE frame=439 fc=386 room=1 a=false x=8 y=96 same=0
TRACE frame=440 fc=387 room=1 a=false x=8 y=96 same=0
TRACE frame=441 fc=388 room=1 a=false x=8 y=96 same=0
TRACE frame=442 fc=389 room=1 a=false x=8 y=96 same=0
TRACE frame=443 fc=390 room=1 a=false x=8 y=96 same=0
TRACE frame=444 fc=391 room=1 a=false x=8 y=96 same=0
TRACE frame=445 fc=392 room=1 a=false x=8 y=96 same=0
TRACE frame=446 fc=393 room=1 a=false x=8 y=96 same=0
TRACE frame=447 fc=394 room=1 a=false x=8 y=96 same=0
TRACE frame=448 fc=395 room=1 a=false x=8 y=96 same=0
TRACE frame=449 fc=396 room=1 a=false x=8 y=96 same=0
TRACE frame=450 fc=397 room=1 a=false x=8 y=96 same=0
TRACE frame=451 fc=398 room=1 a=false x=8 y=96 same=0
TRACE frame=452 fc=399 room=1 a=false x=8 y=96 same=0
TRACE frame=453 fc=400 room=1 a=false x=8 y=96 same=0
TRACE frame=454 fc=401 room=1 a=false x=8 y=96 same=0
TRACE frame=455 fc=402 room=1 a=false x=8 y=96 same=0
TRACE frame=456 fc=403 room=1 a=false x=8 y=96 same=0
TRACE frame=457 fc=404 room=1 a=false x=8 y=96 same=0
TRACE frame=458 fc=405 room=1 a=false x=8 y=96 same=0
TRACE frame=459 fc=406 room=1 a=false x=8 y=96 same=0
TRACE frame=460 fc=407 room=1 a=false x=8 y=96 same=0
TRACE frame=461 fc=408 room=1 a=false x=8 y=96 same=0
TRACE frame=462 fc=409 room=1 a=false x=8 y=96 same=0
TRACE frame=463 fc=410 room=1 a=false x=8 y=96 same=0
TRACE frame=464 fc=411 room=1 a=false x=8 y=96 same=0
TRACE frame=465 fc=412 room=1 a=false x=8 y=96 same=0
TRACE frame=466 fc=413 room=1 a=false x=8 y=96 same=0
TRACE frame=467 fc=414 room=1 a=false x=8 y=96 same=0
TRACE frame=468 fc=415 room=1 a=false x=8 y=96 same=0
TRACE frame=469 fc=416 room=1 a=false x=8 y=96 same=0
TRACE frame=470 fc=417 room=1 a=false x=8 y=96 same=0
TRACE frame=471 fc=418 room=1 a=false x=8 y=96 same=0
TRACE frame=472 fc=419 room=1 a=false x=8 y=96 same=0
TRACE frame=473 fc=420 room=1 a=false x=8 y=96 same=0
TRACE frame=474 fc=421 room=1 a=false x=8 y=96 same=0
TRACE frame=475 fc=422 room=1 a=false x=8 y=96 same=0
TRACE frame=476 fc=423 room=1 a=false x=8 y=96 same=0
TRACE frame=477 fc=424 room=1 a=false x=8 y=96 same=0
TRACE frame=478 fc=425 room=1 a=false x=8 y=96 same=0
TRACE frame=479 fc=426 room=1 a=false x=8 y=96 same=0
TRACE frame=480 fc=427 room=1 a=false x=8 y=96 same=0
TRACE frame=481 fc=428 room=1 a=false x=8 y=96 same=0
TRACE frame=482 fc=429 room=1 a=false x=8 y=96 same=0
TRACE frame=483 fc=430 room=1 a=false x=8 y=96 same=0
TRACE frame=484 fc=431 room=1 a=false x=8 y=96 same=0
TRACE frame=485 fc=432 room=1 a=false x=8 y=96 same=0
TRACE frame=486 fc=433 room=1 a=false x=8 y=96 same=0
TRACE frame=487 fc=434 room=1 a=false x=8 y=96 same=0
TRACE frame=488 fc=435 room=1 a=false x=8 y=96 same=0
TRACE frame=489 fc=436 room=1 a=false x=8 y=96 same=0
TRACE frame=490 fc=437 room=1 a=false x=8 y=96 same=0
TRACE frame=491 fc=438 room=1 a=false x=8 y=96 same=0
TRACE frame=492 fc=439 room=1 a=false x=8 y=96 same=0
TRACE frame=493 fc=440 room=1 a=false x=8 y=96 same=0
TRACE frame=494 fc=441 room=1 a=false x=8 y=96 same=0
TRACE frame=495 fc=442 room=1 a=false x=8 y=96 same=0
TRACE frame=496 fc=443 room=1 a=false x=8 y=96 same=0
TRACE frame=497 fc=444 room=1 a=false x=8 y=96 same=0
TRACE frame=498 fc=445 room=1 a=false x=8 y=96 same=0
TRACE frame=499 fc=446 room=1 a=false x=8 y=96 same=0
TRACE frame=500 fc=447 room=1 a=false x=8 y=96 same=0
TRACE frame=501 fc=448 room=1 a=false x=8 y=96 same=0
TRACE frame=502 fc=449 room=1 a=false x=8 y=96 same=0
TRACE frame=503 fc=450 room=1 a=false x=8 y=96 same=0
TRACE frame=504 fc=451 room=1 a=false x=8 y=96 same=0
TRACE frame=505 fc=452 room=1 a=false x=8 y=96 same=0
TRACE frame=506 fc=453 room=1 a=false x=8 y=96 same=0
TRACE frame=507 fc=454 room=1 a=false x=8 y=96 same=0
TRACE frame=508 fc=455 room=1 a=false x=8 y=96 same=0
TRACE frame=509 fc=456 room=1 a=false x=8 y=96 same=0
TRACE frame=510 fc=457 room=1 a=false x=8 y=96 same=0
TRACE frame=511 fc=458 room=1 a=false x=8 y=96 same=0
TRACE frame=512 fc=459 room=1 a=false x=8 y=96 same=0
TRACE frame=513 fc=460 room=1 a=false x=8 y=96 same=0
TRACE frame=514 fc=461 room=1 a=false x=8 y=96 same=0
TRACE frame=515 fc=462 room=1 a=false x=8 y=96 same=0
TRACE frame=516 fc=463 room=1 a=false x=8 y=96 same=0
TRACE frame=517 fc=464 room=1 a=false x=8 y=96 same=0
TRACE frame=518 fc=465 room=1 a=false x=8 y=96 same=0
TRACE frame=519 fc=466 room=1 a=false x=8 y=96 same=0
TRACE frame=520 fc=467 room=1 a=false x=8 y=96 same=0
TRACE frame=521 fc=468 room=1 a=false x=8 y=96 same=0
TRACE frame=522 fc=469 room=1 a=false x=8 y=96 same=0
TRACE frame=523 fc=470 room=1 a=false x=8 y=96 same=0
TRACE frame=524 fc=471 room=1 a=false x=8 y=96 same=0
TRACE frame=525 fc=472 room=1 a=false x=8 y=96 same=0
TRACE frame=526 fc=473 room=1 a=false x=8 y=96 same=0
TRACE frame=527 fc=474 room=1 a=false x=8 y=96 same=0
TRACE frame=528 fc=475 room=1 a=false x=8 y=96 same=0
TRACE frame=529 fc=476 room=1 a=false x=8 y=96 same=0
TRACE frame=530 fc=477 room=1 a=false x=8 y=96 same=0
TRACE frame=531 fc=478 room=1 a=false x=8 y=96 same=0
TRACE frame=532 fc=479 room=1 a=false x=8 y=96 same=0
TRACE frame=533 fc=480 room=1 a=false x=8 y=96 same=0
TRACE frame=534 fc=481 room=1 a=false x=8 y=96 same=0
TRACE frame=535 fc=482 room=1 a=false x=8 y=96 same=0
TRACE frame=536 fc=483 room=1 a=false x=8 y=96 same=0
TRACE frame=537 fc=484 room=1 a=false x=8 y=96 same=0
TRACE frame=538 fc=485 room=1 a=false x=8 y=96 same=0
TRACE frame=539 fc=486 room=1 a=false x=8 y=96 same=0
TRACE frame=540 fc=487 room=1 a=false x=8 y=96 same=0
TRACE frame=541 fc=488 room=1 a=false x=8 y=96 same=0
TRACE frame=542 fc=489 room=1 a=false x=8 y=96 same=0
TRACE frame=543 fc=490 room=1 a=false x=8 y=96 same=0
TRACE frame=544 fc=491 room=1 a=false x=8 y=96 same=0
TRACE frame=545 fc=492 room=1 a=false x=8 y=96 same=0
TRACE frame=546 fc=493 room=1 a=false x=8 y=96 same=0
TRACE frame=547 fc=494 room=1 a=false x=8 y=96 same=0
TRACE frame=548 fc=495 room=1 a=false x=8 y=96 same=0
TRACE frame=549 fc=496 room=1 a=false x=8 y=96 same=0
TRACE frame=550 fc=497 room=1 a=false x=8 y=96 same=0
TRACE frame=551 fc=498 room=1 a=false x=8 y=96 same=0
TRACE frame=552 fc=499 room=1 a=false x=8 y=96 same=0
TRACE frame=553 fc=500 room=1 a=false x=8 y=96 same=0
TRACE frame=554 fc=501 room=1 a=false x=8 y=96 same=0
TRACE frame=555 fc=502 room=1 a=false x=8 y=96 same=0
TRACE frame=556 fc=503 room=1 a=false x=8 y=96 same=0
TRACE frame=557 fc=504 room=1 a=false x=8 y=96 same=0
TRACE frame=558 fc=505 room=1 a=false x=8 y=96 same=0
TRACE frame=559 fc=506 room=1 a=false x=8 y=96 same=0
TRACE frame=560 fc=507 room=1 a=false x=8 y=96 same=0
TRACE frame=561 fc=508 room=1 a=false x=8 y=96 same=0
TRACE frame=562 fc=509 room=1 a=false x=8 y=96 same=0
TRACE frame=563 fc=510 room=1 a=false x=8 y=96 same=0
TRACE frame=564 fc=511 room=1 a=false x=8 y=96 same=0
TRACE frame=565 fc=512 room=1 a=false x=8 y=96 same=0
TRACE frame=566 fc=513 room=1 a=false x=8 y=96 same=0
TRACE frame=567 fc=514 room=1 a=false x=8 y=96 same=0
TRACE frame=568 fc=515 room=1 a=false x=8 y=96 same=0
TRACE frame=569 fc=516 room=1 a=false x=8 y=96 same=0
TRACE frame=570 fc=517 room=1 a=false x=8 y=96 same=0
TRACE frame=571 fc=518 room=1 a=false x=8 y=96 same=0
TRACE frame=572 fc=519 room=1 a=false x=8 y=96 same=0
TRACE frame=573 fc=520 room=1 a=false x=8 y=96 same=0
TRACE frame=574 fc=521 room=1 a=false x=8 y=96 same=0
TRACE frame=575 fc=522 room=1 a=false x=8 y=96 same=0
TRACE frame=576 fc=523 room=1 a=false x=8 y=96 same=0
TRACE frame=577 fc=524 room=1 a=false x=8 y=96 same=0
TRACE frame=578 fc=525 room=1 a=false x=8 y=96 same=0
TRACE frame=579 fc=526 room=1 a=false x=8 y=96 same=0
TRACE frame=580 fc=527 room=1 a=false x=8 y=96 same=0
TRACE frame=581 fc=528 room=1 a=false x=8 y=96 same=0
TRACE frame=582 fc=529 room=1 a=false x=8 y=96 same=0
TRACE frame=583 fc=530 room=1 a=false x=8 y=96 same=0
TRACE frame=584 fc=531 room=1 a=false x=8 y=96 same=0
TRACE frame=585 fc=532 room=1 a=false x=8 y=96 same=0
TRACE frame=586 fc=533 room=1 a=false x=8 y=96 same=0
TRACE frame=587 fc=534 room=1 a=false x=8 y=96 same=0
TRACE frame=588 fc=535 room=1 a=false x=8 y=96 same=0
TRACE frame=589 fc=536 room=1 a=false x=8 y=96 same=0
TRACE frame=590 fc=537 room=1 a=false x=8 y=96 same=0
TRACE frame=591 fc=538 room=1 a=false x=8 y=96 same=0
TRACE frame=592 fc=539 room=1 a=false x=8 y=96 same=0
TRACE frame=593 fc=540 room=1 a=false x=8 y=96 same=0
TRACE frame=594 fc=541 room=1 a=false x=8 y=96 same=0
TRACE frame=595 fc=542 room=1 a=false x=8 y=96 same=0
TRACE frame=596 fc=543 room=1 a=false x=8 y=96 same=0
TRACE frame=597 fc=544 room=1 a=false x=8 y=96 same=0
TRACE frame=598 fc=545 room=1 a=false x=8 y=96 same=0
TRACE frame=599 fc=546 room=1 a=false x=8 y=96 same=0
TRACE frame=600 fc=547 room=1 a=false x=8 y=96 same=0
TRACE frame=601 fc=548 room=1 a=false x=8 y=96 same=0
