frame,pitch,env,vol,srcn
414,1606,127,36,7
415,1606,127,36,7
416,1606,127,36,7
417,1606,127,36,7
418,1606,127,36,7
419,1606,127,36,7
420,1606,127,36,7
421,2549,127,36,7
422,2549,127,36,7
423,2549,127,36,7
424,2549,127,36,7
425,2549,127,36,7
426,2549,127,36,7
427,2549,127,36,7
428,2549,127,36,7
429,2861,127,90,7
430,2861,127,90,7
431,2861,127,90,7
432,2861,127,90,7
433,2861,127,90,7
434,2861,127,90,7
435,2861,127,90,7
436,2861,127,90,7
437,4286,127,90,7
438,4286,127,90,7
439,4286,127,90,7
440,4286,127,90,7
441,4286,127,90,7
442,4286,127,90,7
443,4286,127,90,7
444,4286,127,90,7
445,2861,127,54,7
446,2861,127,54,7
447,2861,127,54,7
448,2861,127,54,7
449,2861,127,54,7
450,2861,127,54,7
451,2861,127,54,7
452,2861,127,54,7
453,4286,127,54,7
454,4286,127,54,7
455,4286,127,54,7
456,4286,127,54,7
457,4286,127,54,7
458,4286,127,54,7
459,4286,127,54,7
460,4286,127,54,7
461,2861,127,36,7
462,2861,127,36,7
463,2861,127,36,7
464,2861,127,36,7
465,2861,127,36,7
466,2861,127,36,7
467,2861,127,36,7
468,2861,127,36,7
469,4286,127,36,7
470,4286,127,36,7
471,4286,127,36,7
472,4286,127,36,7
473,4286,127,36,7
474,4286,127,36,7
475,4286,127,36,7
476,4286,127,36,7
477,2861,127,18,7
478,2861,127,18,7
479,2861,127,18,7
480,2861,127,18,7
481,2861,127,18,7
482,2861,127,18,7
483,2861,127,18,7
484,2861,127,18,7
485,4286,127,18,7
486,4286,127,18,7
487,4286,127,18,7
488,4286,127,18,7
489,4286,127,18,7
490,4286,127,18,7
491,4286,127,18,7
492,4286,127,18,7
493,2861,127,18,7
494,2861,127,18,7
495,2861,127,18,7
496,2861,127,18,7
497,2861,127,18,7
498,2861,127,18,7
499,2861,127,18,7
500,4286,127,18,7
501,4286,127,18,7
502,4286,127,18,7
503,4286,127,18,7
504,4286,127,18,7
505,4286,127,18,7
506,4286,127,18,7
507,4286,127,18,7
508,3819,127,90,7
509,3819,127,90,7
510,3819,127,90,7
511,3819,127,90,7
512,3819,127,90,7
513,3819,127,90,7
514,3819,127,90,7
515,3819,127,90,7
