frame,v0_pitch,v0_env,v0_vol,v0_srcn,v1_pitch,v1_env,v1_vol,v1_srcn,v2_pitch,v2_env,v2_vol,v2_srcn,v3_pitch,v3_env,v3_vol,v3_srcn
70,715,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
71,715,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
72,715,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
73,715,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
74,715,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
75,715,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
76,715,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
77,715,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
78,715,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
79,715,127,18,1,284,127,0,7,0,0,0,0,0,0,0,0
80,715,127,18,1,284,127,0,7,0,0,0,0,0,0,0,0
81,715,127,18,1,284,127,0,7,0,0,0,0,0,0,0,0
82,715,127,18,1,284,127,0,7,0,0,0,0,0,0,0,0
83,715,127,18,1,284,127,0,7,0,0,0,0,0,0,0,0
84,715,127,18,1,284,127,0,7,0,0,0,0,0,0,0,0
85,715,127,18,1,284,127,0,7,0,0,0,0,0,0,0,0
86,715,127,18,1,284,127,0,7,0,0,0,0,0,0,0,0
87,715,127,18,1,284,127,0,7,0,0,0,0,0,0,0,0
88,715,127,18,1,284,127,0,7,0,0,0,0,0,0,0,0
89,715,127,18,1,284,127,0,7,0,0,0,0,0,0,0,0
90,715,127,18,1,284,127,0,7,0,0,0,0,0,0,0,0
